,query_sentence
0,Lives in : Saudi Aribia .
1,Is she beautiful .
2,"Lets eat cake , dance and sing ."
3,Sometimes it 's tiring and boring when I work a log time .
4,"IN THE EVENING , I meet friends ."
5,Lives in : saudi Arabia .
6,"Lets eat cake , dance and sing ."
7,"Lets eat cake , dance , play and sing.The party starts at 5:00 ."
8,Sets the table in the morning .
9,Does ironing on Thursday .
10,has mother is a frindly women and has father is strongar man .
11,"Lets eat cake , dance and sing ."
12,"Lets eat cake , dance and sing ."
13,Plays computer games at 6 pm .
14,Does gardening in the morning .
15,Sets the table at 6 p m. You .
16,lets roll .
17,Is the summer the weather very hot and sunny .
18,"Lets eat cake , dance and sing ."
19,Plays computer games at \\every sfternoon .
20,Sounds like a great idea .
21,Thanks a lot and best regards .
22,Translates 500 useful phrases into 50 languages .
23,Is n't this totally awesome !
24,"Lives in : Jeddah , Saudia Arabia Favorite : season : summer color : Black animal : small cat time : the morning day : Sunday !"
25,looks like and handsome me .
26,does n't likes she High sounds .
27,lets meet friends and eat cake and dance and listen to music nad sing songe nad drink .
28,Wins the player with the most points .
29,"Item 2 : The manger assign to the tasks to achieve the job which are : a ) Shary contact Alson to ask her about the requirements for the next meeting , b ) Alex with his team must brainstorm some new ideas to discuss it next meeting , c ) booking a table at a Malaysian restaurant as one of the offic party on the end of this month ."
30,"Lets eat cake , dance and sing ."
31,IN THE evenings I like to watch movies and music programs .
32,"Lets eat cake , watch movie and dance ."
33,Plays computer games at 6 pm .
34,Does gardening in the morning .
35,"Is that true she does n't like earrings , phones and dresses ."
36,"Is it possible to offer the installment every two months and if yes , Is the interest will be lower ."
37,Plays computer games at 6pm .
38,Does gardening in the morning .
39,Sets the table at 6pm .
40,Imakes the dinner and sets the table everyday in the evening.Inever eats out .
41,Does gardening in the morning .
42,sets the table at 6pm .
43,Is good to hear from you .
44,Sounds be good let 's meet there .
45,Does ironing in the morning .
46,Does gardening in the morning .
47,Feeds the dog again at 4pm every day .
48,Does the dishes at 7am every day .
49,Does the laundry on tuesday moorning .
50,Sets the table at 7:30pm .
